iter	Logloss
0	0.5736004689
1	0.4896967716
2	0.42683338
3	0.3793947892
4	0.3410806055
5	0.3114310613
6	0.2885358547
7	0.2704811059
8	0.2554764628
9	0.242427346
10	0.2320345471
11	0.2235702137
12	0.2128923898
13	0.2039190759
14	0.195911689
15	0.1904477007
16	0.1809053555
17	0.1748400988
18	0.1686553583
19	0.1648305078
20	0.1616322238
21	0.1566801516
22	0.154244952
23	0.1503932509
24	0.1490132513
25	0.1457398516
26	0.1447994399
27	0.1400887311
28	0.136480299
29	0.131972217
30	0.1303416167
31	0.1253228525
