iter	Passed	Remaining
0	49	33834
1	89	30314
2	131	29718
3	167	28289
4	205	27703
5	248	27861
6	289	27862
7	336	28246
8	379	28279
9	421	28217
10	461	28093
11	505	28152
12	552	28359
13	594	28299
14	638	28307
15	680	28237
16	723	28212
17	784	28852
18	834	29020
19	876	28914
20	916	28757
21	966	28915
22	1014	28967
23	1057	28918
24	1098	28793
25	1142	28730
26	1184	28644
27	1231	28666
28	1276	28663
29	1324	28696
30	1368	28649
31	1412	28595
32	1455	28536
33	1503	28572
34	1540	28392
35	1586	28375
36	1635	28421
37	1676	28330
38	1720	28281
39	1768	28298
40	1806	28152
41	1846	28048
42	1892	28036
43	1938	28023
44	1978	27920
45	2023	27889
46	2064	27803
47	2102	27685
48	2145	27624
49	2179	27463
50	2221	27398
51	2262	27324
52	2300	27219
53	2344	27173
54	2388	27137
55	2428	27064
56	2470	27004
57	2515	26972
58	2556	26910
59	2597	26836
60	2628	26668
61	2665	26565
62	2698	26428
63	2732	26295
64	2768	26189
65	2814	26182
66	2849	26075
67	2885	25970
68	2919	25856
69	2952	25732
70	2997	25714
71	3039	25667
72	3083	25640
73	3124	25589
74	3161	25504
75	3205	25473
76	3251	25460
77	3291	25405
78	3331	25345
79	3374	25308
80	3420	25293
81	3466	25283
82	3510	25250
83	3542	25134
84	3583	25083
85	3626	25047
86	3679	25081
87	3717	25011
88	3752	24919
89	3790	24848
90	3823	24746
91	3856	24647
92	3893	24574
93	3928	24492
94	3964	24413
95	4005	24365
96	4041	24291
97	4085	24265
98	4132	24253
99	4174	24212
100	4218	24183
101	4256	24117
102	4296	24068
103	4344	24061
104	4389	24036
105	4430	23991
106	4475	23965
107	4519	23936
108	4585	24022
109	4625	23966
110	4668	23929
111	4707	23875
112	4755	23859
113	4802	23841
114	4846	23808
115	4895	23803
116	4944	23791
117	4987	23752
118	5031	23720
119	5073	23674
120	5115	23633
121	5163	23614
122	5210	23593
123	5256	23570
124	5296	23518
125	5335	23459
126	5373	23397
127	5414	23348
128	5460	23324
129	5525	23376
130	5562	23311
131	5600	23249
132	5640	23198
133	5684	23162
134	5725	23114
135	5766	23066
136	5804	23005
137	5848	22971
138	5891	22928
139	5938	22907
140	5989	22896
141	6035	22867
142	6083	22844
143	6128	22810
144	6171	22769
145	6218	22744
146	6264	22714
147	6306	22668
148	6352	22637
149	6390	22578
150	6444	22577
151	6493	22556
152	6537	22516
153	6577	22465
154	6620	22423
155	6667	22394
156	6706	22339
157	6745	22284
158	6789	22246
159	6826	22184
160	6871	22150
161	6911	22100
162	6954	22058
163	6997	22016
164	7044	21986
165	7089	21953
166	7141	21939
167	7186	21902
168	7231	21864
169	7274	21823
170	7325	21806
171	7390	21827
172	7429	21772
173	7471	21728
174	7513	21681
175	7558	21645
176	7603	21606
177	7643	21555
178	7691	21528
179	7736	21489
180	7784	21460
181	7835	21439
182	7877	21393
183	7921	21354
184	7963	21308
185	8005	21261
186	8053	21232
187	8099	21196
188	8145	21161
189	8191	21125
190	8238	21092
191	8301	21100
192	8341	21047
193	8380	20993
194	8416	20933
195	8459	20889
196	8509	20863
197	8553	20822
198	8593	20771
199	8635	20724
200	8681	20689
201	8728	20654
202	8768	20604
203	8815	20568
204	8855	20519
205	8902	20484
206	8952	20456
207	8998	20420
208	9046	20386
209	9088	20341
210	9135	20305
211	9197	20303
212	9238	20255
213	9277	20203
214	9322	20162
215	9687	20810
216	9816	20944
217	9970	21129
218	10084	21229
219	10169	21263
220	10294	21379
221	10431	21521
222	10554	21628
223	11017	22427
224	11107	22462
225	11194	22488
226	11338	22627
227	11452	22703
228	11614	22873
229	11690	22873
230	11731	22803
231	11772	22733
232	11813	22663
233	11852	22590
234	11908	22550
235	11941	22466
236	11973	22381
237	12010	22305
238	12045	22226
239	12086	22158
240	12128	22092
241	12168	22024
242	12216	21969
243	12255	21899
244	12298	21836
245	12342	21775
246	12383	21709
247	12430	21653
248	12478	21598
249	12526	21545
250	12572	21487
251	12616	21428
252	12659	21366
253	12703	21306
254	12754	21257
255	12818	21231
256	12861	21168
257	12901	21102
258	12942	21038
259	12984	20975
260	13034	20925
261	13076	20862
262	13117	20798
263	13157	20732
264	13199	20670
265	13250	20622
266	13293	20563
267	13339	20506
268	13382	20447
269	13429	20393
270	13482	20348
271	13526	20290
272	13567	20226
273	13609	20165
274	13655	20111
275	13719	20082
276	13761	20020
277	13801	19958
278	13842	19895
279	13879	19827
280	13920	19766
281	13962	19705
282	14008	19651
