ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,1.2599211,5.9249926,1.0,3.6840317,3.1072326,464.15897,0.0,0.2769829,0.0,0.0,1,1.0,7.0,0.0,12.0,2.0,0,0
1,1.0,0.0,0.0,0.0,1.0,0.0,0.5848035,0.5848035,0.0,0.84343266,2,3.0,10.0,0.0,4.0,2.0,0,0
2,0.0,0.0,1.0,12.0023155,2.6684017,11.189775,0.23366465,0.36840314,0.0,0.0,9,1.0,10.0,0.0,12.0,2.0,0,0
2,0.0,0.0,1.0,12.0023155,2.6684017,11.189775,0.23366465,0.36840314,0.0,0.0,9,1.0,10.0,0.0,12.0,2.0,0,0
4,1.0,1.9129312,0.0,0.0,3.6840317,13.258585,0.2350088,0.31548005,0.0,0.0,8,5.0,10.0,6.0,12.0,2.0,0,0
4,1.0,1.9129312,0.0,0.0,3.6840317,13.258585,0.2350088,0.31548005,0.0,0.0,8,5.0,10.0,6.0,12.0,2.0,0,0
5,1.9129312,6.2601614,0.0,0.0,1.709976,65.62941,0.30100772,0.37281513,0.0,0.0,2,3.0,3.0,6.0,12.0,2.0,0,0
5,1.9129312,6.2601614,0.0,0.0,1.709976,65.62941,0.30100772,0.37281513,0.0,0.0,2,3.0,3.0,6.0,12.0,2.0,0,0
6,1.4422495,5.37976,0.0,0.0,2.6207414,8.410833,0.0,0.21915653,0.0,0.0,13,3.0,3.0,0.0,4.0,1.0,0,0
7,1.8171207,9.996666,0.0,0.0,2.4101424,5.9577613,0.105969846,0.34062457,0.0,0.0,8,1.0,10.0,1.0,5.0,2.0,0,0
7,1.8171207,9.996666,0.0,0.0,2.4101424,5.9577613,0.105969846,0.34062457,0.0,0.0,8,1.0,10.0,1.0,5.0,2.0,0,0
8,0.0,0.0,0.0,0.0,2.8020394,12.985191,0.21196938,0.30570918,0.0,0.0,8,0.0,10.0,0.0,5.0,2.0,100,0
9,0.0,0.0,0.0,0.0,2.6207414,8.544063,0.25543818,0.38120806,0.0,0.0,9,1.0,10.0,1.0,4.0,2.0,0,0
11,0.0,0.0,0.0,0.0,1.709976,825.96716,0.0,0.27144176,0.0,0.0,2,1.0,10.0,2.0,8.0,2.0,1,0
12,1.9129312,5.1362534,1.2599211,3.1072326,5.0527744,16.025972,0.11372891,0.22432885,1.314936,0.0,2,1.0,10.0,0.0,4.0,2.0,1,0
13,1.0,3.3969986,0.0,0.0,2.843867,8.072263,0.0,0.12954475,0.0,0.0,7,0.0,10.0,6.0,4.0,2.0,0,0
15,0.0,0.0,0.0,0.0,1.4422495,5.4061203,0.32182872,0.32182872,0.0,0.0,9,3.0,3.0,0.0,12.0,1.0,0,0
16,0.0,0.0,1.0,1.8171207,4.0207257,13.293336,0.26583454,0.35961118,0.0,0.0,4,1.0,10.0,5.0,12.0,2.0,0,0
17,0.0,0.0,1.0,3.5303485,3.4482174,10.290639,0.0,0.18022604,0.0,0.0,1,1.0,10.0,6.0,4.0,1.0,0,0
18,1.587401,4.2171636,0.0,0.0,2.5198421,6.31636,0.0,0.16440865,0.0,0.0,2,1.0,10.0,2.0,7.0,1.0,1,0
